Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3453030,      289.440,
Traffic, 4455143,      291.730,
BasketballDrive, 1808447,      154.270,
BQTerrace, 2043806,      153.680,
Cactus, 2422077,      154.730,
Kimono, 2001791,      153.400,
ParkScene, 2240357,      155.850,
BasketballDrill, 392660,       29.770,
BQMall, 408594,       29.910,
PartyScene, 490592,       30.230,
RaceHorsesC, 419849,       29.540,
BasketballPass, 91211,        7.190,
BlowingBubbles, 124345,        7.620,
BQSquare, 91665,        7.320,
RaceHorses, 115316,        7.340,
FourPeople, 713337,       68.120,
Johnny, 642035,       67.620,
KristenAndSara, 668297,       67.870,
BasketballDrillText, 378837,       30.040,
ChinaSpeed, 477070,       55.510,
SlideEditing, 521946,       64.340,
SlideShow, 124847,       56.740,
