Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3193419,      233.570,
Traffic, 4307363,      225.080,
BasketballDrive, 1734765,      173.680,
BQTerrace, 1964210,      175.420,
Cactus, 2384947,      175.770,
Kimono, 1888486,      174.040,
ParkScene, 2160181,      174.980,
BasketballDrill, 378675,       35.880,
BQMall, 393749,       36.040,
PartyScene, 476699,       36.370,
RaceHorsesC, 397193,       35.390,
BasketballPass, 86077,        8.830,
BlowingBubbles, 119747,        8.880,
BQSquare, 87791,        8.700,
RaceHorses, 108985,        8.930,
FourPeople, 640826,       79.870,
Johnny, 563975,       78.960,
KristenAndSara, 592066,       79.290,
BasketballDrillText, 365253,       35.390,
ChinaSpeed, 444275,       65.650,
SlideEditing, 501560,       76.850,
SlideShow, 109042,       67.220,
