Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 328702,       18.920,
Traffic, 440849,       19.150,
BasketballDrive, 177418,        9.580,
BQTerrace, 200104,        9.540,
Cactus, 241875,        9.770,
Kimono, 192780,        9.680,
ParkScene, 220595,        9.700,
BasketballDrill, 38770,        1.850,
BQMall, 40006,        1.880,
PartyScene, 48826,        1.870,
RaceHorsesC, 41139,        1.830,
BasketballPass, 8865,        0.450,
BlowingBubbles, 12352,        0.460,
BQSquare, 9070,        0.450,
RaceHorses, 11289,        0.450,
FourPeople, 65638,        4.210,
Johnny, 57881,        4.200,
KristenAndSara, 60875,        4.200,
BasketballDrillText, 37374,        1.850,
ChinaSpeed, 43928,        3.430,
SlideEditing, 51043,        3.990,
SlideShow, 28729,        3.850,
