Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 345013,       13.130,
Traffic, 445271,       13.180,
BasketballDrive, 181347,        6.630,
BQTerrace, 204524,        6.590,
Cactus, 241621,        6.710,
Kimono, 200330,        6.680,
ParkScene, 224119,        6.650,
BasketballDrill, 39495,        1.300,
BQMall, 40837,        1.290,
PartyScene, 49589,        1.300,
RaceHorsesC, 42653,        1.290,
BasketballPass, 9235,        0.320,
BlowingBubbles, 12525,        0.320,
BQSquare, 9240,        0.310,
RaceHorses, 11703,        0.320,
FourPeople, 71279,        2.950,
Johnny, 64256,        2.960,
KristenAndSara, 66953,        2.940,
BasketballDrillText, 38109,        1.280,
ChinaSpeed, 46022,        2.400,
SlideEditing, 51766,        2.780,
SlideShow, 29949,        2.660,
