Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3256075,      225.960,
Traffic, 3477701,      236.070,
BasketballDrive, 1494930,      176.110,
BQTerrace, 1688928,      174.930,
Cactus, 1988710,      177.750,
Kimono, 1554770,      173.840,
ParkScene, 1840549,      176.490,
BasketballDrill, 342422,       36.020,
BQMall, 342141,       35.890,
PartyScene, 449546,       36.390,
RaceHorsesC, 371481,       35.740,
BasketballPass, 83859,        8.960,
BlowingBubbles, 100187,        8.940,
BQSquare, 84892,        8.790,
RaceHorses, 105239,        8.820,
FourPeople, 567882,       79.880,
Johnny, 536666,       79.720,
KristenAndSara, 547851,       79.770,
BasketballDrillText, 330811,       35.720,
ChinaSpeed, 457771,       67.390,
SlideEditing, 520008,       77.350,
SlideShow, 83419,       67.130,
