Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 334732,       18.900,
Traffic, 357340,       18.760,
BasketballDrive, 153295,        9.390,
BQTerrace, 172265,        9.340,
Cactus, 202558,        9.570,
Kimono, 161369,        9.450,
ParkScene, 188523,        9.450,
BasketballDrill, 35456,        1.830,
BQMall, 35355,        1.820,
PartyScene, 46191,        1.870,
RaceHorsesC, 39116,        1.820,
BasketballPass, 8798,        0.450,
BlowingBubbles, 10376,        0.460,
BQSquare, 8773,        0.440,
RaceHorses, 11120,        0.450,
FourPeople, 58777,        4.130,
Johnny, 55230,        4.130,
KristenAndSara, 56633,        4.120,
BasketballDrillText, 34304,        1.830,
ChinaSpeed, 47932,        3.460,
SlideEditing, 52967,        3.970,
SlideShow, 24718,        3.790,
