Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 347812,       12.970,
Traffic, 372914,       13.090,
BasketballDrive, 164269,        6.550,
BQTerrace, 179124,        6.520,
Cactus, 206627,        6.620,
Kimono, 173145,        6.590,
ParkScene, 196485,        6.580,
BasketballDrill, 36897,        1.270,
BQMall, 36799,        1.270,
PartyScene, 46979,        1.280,
RaceHorsesC, 40023,        1.260,
BasketballPass, 9116,        0.300,
BlowingBubbles, 10616,        0.320,
BQSquare, 9122,        0.310,
RaceHorses, 11420,        0.320,
FourPeople, 64847,        2.890,
Johnny, 61794,        2.920,
KristenAndSara, 63062,        2.900,
BasketballDrillText, 35539,        1.260,
ChinaSpeed, 50334,        2.430,
SlideEditing, 53759,        2.790,
SlideShow, 25943,        2.630,
