Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 1942822,       22.820,
Traffic, 1916322,       23.210,
BasketballDrive, 1012034,       11.770,
BQTerrace, 1156624,       11.760,
Cactus, 1148997,       11.800,
Kimono, 908610,       11.640,
ParkScene, 1108936,       11.730,
BasketballDrill, 203806,        2.280,
BQMall, 221451,        2.300,
PartyScene, 280852,        2.310,
RaceHorsesC, 220228,        2.260,
BasketballPass, 51481,        0.560,
BlowingBubbles, 62888,        0.560,
BQSquare, 65894,        0.570,
RaceHorses, 59025,        0.560,
FourPeople, 396837,        5.180,
Johnny, 367402,        5.180,
KristenAndSara, 357212,        5.140,
BasketballDrillText, 191646,        2.240,
ChinaSpeed, 262387,        4.110,
SlideEditing, 243745,        4.390,
SlideShow, 171148,        4.090,
