Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2089747,       19.900,
Traffic, 2048740,       20.110,
BasketballDrive, 1031775,       10.120,
BQTerrace, 1214852,       10.230,
Cactus, 1184614,       10.130,
Kimono, 959379,        9.960,
ParkScene, 1155512,       10.160,
BasketballDrill, 209746,        1.960,
BQMall, 228564,        1.970,
PartyScene, 290288,        2.030,
RaceHorsesC, 230447,        1.960,
BasketballPass, 53808,        0.490,
BlowingBubbles, 65301,        0.480,
BQSquare, 67675,        0.500,
RaceHorses, 62026,        0.490,
FourPeople, 419661,        4.490,
Johnny, 385347,        4.490,
KristenAndSara, 380380,        4.470,
BasketballDrillText, 197604,        1.960,
ChinaSpeed, 283915,        3.710,
SlideEditing, 259961,        4.000,
SlideShow, 185024,        3.730,
