Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27897252,      754.180,
Traffic, 28758648,      769.400,
BasketballDrive, 13793093,      385.210,
BQTerrace, 16008782,      385.840,
Cactus, 16425320,      388.850,
Kimono, 13474369,      385.020,
ParkScene, 15816676,      387.400,
BasketballDrill, 2846519,       74.640,
BQMall, 3054415,       74.620,
PartyScene, 3855959,       75.230,
RaceHorsesC, 3089431,       74.590,
BasketballPass, 715059,       18.340,
BlowingBubbles, 887680,       18.680,
BQSquare, 857924,       18.380,
RaceHorses, 836207,       18.710,
FourPeople, 5578159,      169.310,
Johnny, 5150611,      167.380,
KristenAndSara, 5122837,      168.090,
BasketballDrillText, 2693554,       73.870,
ChinaSpeed, 3890714,      136.660,
SlideEditing, 3682327,      148.030,
SlideShow, 1134967,      101.540,
