Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2587906,       41.450,
Traffic, 2696895,       41.910,
BasketballDrive, 1342908,       21.160,
BQTerrace, 1531653,       21.100,
Cactus, 1593097,       21.450,
Kimono, 1258903,       21.100,
ParkScene, 1515829,       21.230,
BasketballDrill, 275251,        4.120,
BQMall, 294693,        4.120,
PartyScene, 373180,        4.170,
RaceHorsesC, 298700,        4.060,
BasketballPass, 68068,        1.000,
BlowingBubbles, 84803,        1.010,
BQSquare, 82954,        1.010,
RaceHorses, 80478,        1.010,
FourPeople, 519901,        9.270,
Johnny, 483003,        9.210,
KristenAndSara, 475703,        9.170,
BasketballDrillText, 260412,        4.040,
ChinaSpeed, 349988,        7.300,
SlideEditing, 345172,        7.990,
SlideShow, 223781,        7.270,
