Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2757637,       29.680,
Traffic, 2838453,       29.960,
BasketballDrive, 1367142,       15.150,
BQTerrace, 1587438,       15.110,
Cactus, 1624834,       15.200,
Kimono, 1327715,       14.990,
ParkScene, 1565605,       15.100,
BasketballDrill, 281730,        2.940,
BQMall, 302738,        2.950,
PartyScene, 382848,        3.000,
RaceHorsesC, 309497,        2.910,
BasketballPass, 70367,        0.710,
BlowingBubbles, 87680,        0.720,
BQSquare, 84692,        0.730,
RaceHorses, 84062,        0.710,
FourPeople, 551429,        6.680,
Johnny, 510272,        6.660,
KristenAndSara, 508339,        6.670,
BasketballDrillText, 266574,        2.910,
ChinaSpeed, 373473,        5.360,
SlideEditing, 358821,        5.860,
SlideShow, 236685,        5.340,
