Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2586143,       35.910,
Traffic, 2695000,       36.400,
BasketballDrive, 1337556,       18.350,
BQTerrace, 1520034,       18.320,
Cactus, 1588514,       18.550,
Kimono, 1255692,       18.280,
ParkScene, 1511533,       18.440,
BasketballDrill, 274890,        3.570,
BQMall, 294073,        3.580,
PartyScene, 372653,        3.610,
RaceHorsesC, 297783,        3.530,
BasketballPass, 68079,        0.860,
BlowingBubbles, 84736,        0.870,
BQSquare, 82884,        0.900,
RaceHorses, 80292,        0.870,
FourPeople, 516942,        8.060,
Johnny, 477632,        7.980,
KristenAndSara, 470715,        7.960,
BasketballDrillText, 260040,        3.500,
ChinaSpeed, 349325,        6.300,
SlideEditing, 342392,        6.910,
SlideShow, 221408,        6.230,
