Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2787488,       31.530,
Traffic, 2875021,       31.880,
BasketballDrive, 1381086,       16.000,
BQTerrace, 1602162,       16.100,
Cactus, 1637356,       16.120,
Kimono, 1339727,       15.870,
ParkScene, 1580685,       16.070,
BasketballDrill, 285361,        3.110,
BQMall, 305765,        3.130,
PartyScene, 386509,        3.180,
RaceHorsesC, 312801,        3.100,
BasketballPass, 71801,        0.760,
BlowingBubbles, 88398,        0.780,
BQSquare, 85804,        0.780,
RaceHorses, 84814,        0.780,
FourPeople, 557804,        7.100,
Johnny, 514012,        7.090,
KristenAndSara, 512570,        7.070,
BasketballDrillText, 270290,        3.090,
ChinaSpeed, 380367,        5.740,
SlideEditing, 365771,        6.320,
SlideShow, 241275,        5.720,
