Sequence, VVC_Bits, VVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 588723.8880,     7407.453, 553456.7040,     8679.281,-5.99044555841091,1.17169572321282,
Traffic, 598641.0000,     7908.234, 576059.3040,     8863.422,-3.77215994226924,1.12078398287152,
BasketballDrive, 509619.5600,     5333.750, 507102.7600,     5624.875,-0.493858595223462,1.05458167330677,
BQTerrace, 678984.0000,     4665.500, 671220.3840,     4928.422,-1.14341663426532,1.05635451720073,
Cactus, 616494.9600,     4787.109, 610098.8000,     5368.000,-1.03750402111964,1.12134484508291,
Kimono, 235251.8016,     4375.297, 227431.8720,     5363.000,-3.32406789100654,1.22574536082922,
ParkScene, 279079.2384,     4674.219, 271889.6064,     5468.078,-2.57619737004413,1.1698377846652,
BasketballDrill, 104339.6800,      818.188, 103116.8400,      880.359,-1.17197982589174,1.07598620365979,
BQMall, 133496.0640,      923.047, 132327.0720,     1023.641,-0.875675255863744,1.10898036611353,
PartyScene, 142295.0400,      831.703, 141280.8800,      933.359,-0.712716339234314,1.12222632357945,
RaceHorsesC,  67001.7840,      848.109,  64814.6160,     1004.609,-3.26434293152552,1.18452816795954,
BasketballPass,  24306.7200,      256.859,  23633.5200,      276.391,-2.76960445506428,1.0760417193869,
BlowingBubbles,  32637.7600,      209.594,  32378.2000,      235.562,-0.795275165942754,1.12389667643158,
BQSquare,  38009.7600,      219.250,  37805.0880,      232.234,-0.538472223976154,1.05922006841505,
RaceHorses,  17941.3200,      197.109,  17304.6960,      246.812,-3.54836767863234,1.25215997240106,
FourPeople, 227917.0560,     2186.750, 218824.5600,     2490.875,-3.98938813951687,1.1390762547159,
Johnny, 212867.8080,     2257.641, 206550.6720,     2445.844,-2.96763332105153,1.08336267812287,
KristenAndSara, 209283.2160,     2262.688, 203418.2400,     2462.891,-2.80241106386668,1.08848016164845,
Vidyo1, 207768.7680,     2049.469, 200077.4880,     2378.547,-3.70184608304555,1.16056744454295,
Vidyo3, 212728.7520,     2279.375, 204459.7920,     2459.031,-3.88709091848572,1.07881809706608,
Vidyo4, 194921.2800,     2183.969, 188900.1600,     2439.359,-3.08900085203627,1.11693847302778,
BasketballDrillText,  97981.3600,      777.359,  96861.2800,      837.312,-1.143156208487,1.07712395431197,
ChinaSpeed,  73436.9280,     1746.578,  72452.5680,     1856.656,-1.34041554679412,1.0630249550836,
SlideEditing,  69028.5360,     1648.781,  68474.2080,     1743.016,-0.803041802885685,1.05715434615028,
SlideShow,  13523.2160,      655.000,  12792.3040,      669.125,-5.40486819111667,1.02156488549618,
25 AVG,-,-,-,-,-2.44571744063025,1.11237978541129,
