Sequence, VVC_Bits, VVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet,   19650976,     1499.531,   18474064,     1770.891,-5.98907657309235,1.18096324784216,
Traffic,   19958304,     1614.953,   19206440,     1812.219,-3.76717380394647,1.12214968485151,
BasketballDrive,   10202088,     1072.422,   10148888,     1141.766,-0.521461881136489,1.0646611128828,
BQTerrace,   11319424,      941.641,   11189480,     1010.234,-1.14797360713761,1.07284410937926,
Cactus,   12341680,      974.875,   12211696,     1094.766,-1.05321155628731,1.12298089498654,
Kimono,    9778648,      890.422,    9450768,     1094.750,-3.35301976305927,1.22947321607058,
ParkScene,   11625912,      944.203,   11325552,     1097.828,-2.5835392526625,1.16270335934116,
BasketballDrill,    2086608,      167.594,    2061184,      180.188,-1.21843681228098,1.07514588827762,
BQMall,    2221232,      186.875,    2202224,      208.969,-0.855741318331449,1.11822876254181,
PartyScene,    2843976,      171.250,    2824472,      190.422,-0.685800442760417,1.11195328467153,
RaceHorsesC,    2232640,      172.688,    2160144,      203.719,-3.2470976064211,1.17969401463912,
BasketballPass,     481880,       52.125,     468896,       55.547,-2.69444675022827,1.06564988009592,
BlowingBubbles,     655200,       41.688,     650296,       47.812,-0.748473748473748,1.14690078679716,
BQSquare,     634152,       43.516,     630616,       46.219,-0.557595024536704,1.062115084107,
RaceHorses,     599216,       40.250,     577792,       48.828,-3.57533844223118,1.21311801242236,
FourPeople,    3798376,      451.109,    3647496,      505.750,-3.97222391885374,1.12112593630364,
Johnny,    3555224,      457.375,    3447128,      498.203,-3.04048352508871,1.08926591965018,
KristenAndSara,    3489856,      455.156,    3391608,      493.781,-2.81524509893818,1.08486101468508,
Vidyo1,    3423424,      414.828,    3298344,      482.828,-3.65365201622703,1.16392336100745,
Vidyo3,    3468136,      460.453,    3336424,      496.453,-3.79777494308182,1.0781838754444,
Vidyo4,    3221296,      439.672,    3123264,      493.766,-3.04324718995088,1.12303262431995,
BasketballDrillText,    1960224,      158.406,    1937192,      170.844,-1.17496775878675,1.07851975303966,
ChinaSpeed,    2481768,      353.125,    2445296,      372.578,-1.46959748050583,1.05508814159292,
SlideEditing,    2314072,      334.672,    2295576,      352.078,-0.799283686938004,1.05200913132858,
SlideShow,    1140528,      233.109,    1063744,      241.484,-6.73232046911606,1.03592739877053,
25 AVG,-,-,-,-,-2.49988730680291,1.11242073980196,
