Sequdece, VVC_Time, EI_Time, x_Time
PeopleOnStreet,        3.125,        2.281,0.72992,
Traffic,        3.156,        2.312,0.732572877059569,
BasketballDrive,        1.344,        1.219,0.906994047619048,
BQTerrace,        1.422,        1.219,0.857243319268636,
Cactus,        1.391,        1.312,0.943206326383896,
Kimono,        1.453,        1.203,0.827942188575361,
ParkScene,        1.484,        1.156,0.778975741239892,
BasketballDrill,        0.312,        0.297,0.951923076923077,
BQMall,        0.297,        0.266,0.895622895622896,
PartyScene,        0.328,        0.266,0.810975609756098,
RaceHorsesC,        0.312,        0.219,0.701923076923077,
BasketballPass,        0.078,        0.062,0.794871794871795,
BlowingBubbles,        0.094,        0.078,0.829787234042553,
BQSquare,        0.078,        0.078,1,
RaceHorses,        0.078,        0.062,0.794871794871795,
FourPeople,        0.656,        0.500,0.76219512195122,
Johnny,        0.578,        0.516,0.892733564013841,
KristenAndSara,        0.594,        0.500,0.841750841750842,
Vidyo1,        0.641,        0.469,0.731669266770671,
Vidyo3,        0.625,        0.484,0.7744,
Vidyo4,        0.641,        0.469,0.731669266770671,
BasketballDrillText,        0.297,        0.281,0.946127946127946,
ChinaSpeed,        0.516,        0.438,0.848837209302326,
SlideEditing,        0.406,        0.344,0.847290640394089,
SlideShow,        0.344,        0.234,0.680232558139535,
25AVG,-,-,0.824549455935153,
