Sequdece, VVC_Time, EI_Time, x_Time
PeopleOnStreet,       13.000,       10.312,0.793230769230769,
Traffic,       12.422,       10.703,0.861616486878119,
BasketballDrive,        5.734,        5.516,0.961981164980816,
BQTerrace,        5.703,        5.453,0.956163422759951,
Cactus,        6.234,        5.969,0.95749117741418,
Kimono,        6.312,        5.594,0.886248415716096,
ParkScene,        6.422,        5.438,0.8467767050763,
BasketballDrill,        1.328,        1.281,0.96460843373494,
BQMall,        1.156,        1.125,0.97318339100346,
PartyScene,        1.328,        1.281,0.96460843373494,
RaceHorsesC,        1.188,        1.047,0.881313131313131,
BasketballPass,        0.250,        0.234,0.936,
BlowingBubbles,        0.328,        0.328,1,
BQSquare,        0.328,        0.328,1,
RaceHorses,        0.312,        0.297,0.951923076923077,
FourPeople,        2.438,        2.188,0.897456931911403,
Johnny,        2.188,        2.016,0.921389396709324,
KristenAndSara,        2.234,        2.078,0.930170098478066,
Vidyo1,        2.156,        2.141,0.9930426716141,
Vidyo3,        2.453,        2.109,0.859763554830819,
Vidyo4,        2.234,        1.953,0.874216651745747,
BasketballDrillText,        1.234,        1.234,1,
ChinaSpeed,        1.734,        1.750,1.00922722029988,
SlideEditing,        1.562,        1.531,0.980153649167734,
SlideShow,        0.766,        0.672,0.877284595300261,
25AVG,-,-,0.931113975152925,
