Sequdece, VVC_Time, EI_Time, x_Time
PeopleOnStreet,        2.734,        1.953,0.714337966349671,
Traffic,        2.766,        2.000,0.723065798987708,
BasketballDrive,        1.125,        1.062,0.944,
BQTerrace,        1.234,        1.031,0.8354943273906,
Cactus,        1.219,        1.109,0.909762100082034,
Kimono,        1.266,        1.047,0.827014218009479,
ParkScene,        1.281,        1.000,0.78064012490242,
BasketballDrill,        0.266,        0.266,1,
BQMall,        0.266,        0.234,0.879699248120301,
PartyScene,        0.281,        0.234,0.832740213523132,
RaceHorsesC,        0.281,        0.203,0.722419928825623,
BasketballPass,        0.078,        0.078,1,
BlowingBubbles,        0.078,        0.062,0.794871794871795,
BQSquare,        0.078,        0.078,1,
RaceHorses,        0.078,        0.062,0.794871794871795,
FourPeople,        0.547,        0.453,0.828153564899451,
Johnny,        0.484,        0.422,0.871900826446281,
KristenAndSara,        0.531,        0.422,0.794726930320151,
Vidyo1,        0.562,        0.375,0.667259786476868,
Vidyo3,        0.547,        0.406,0.742230347349177,
Vidyo4,        0.531,        0.422,0.794726930320151,
BasketballDrillText,        0.250,        0.250,1,
ChinaSpeed,        0.453,        0.375,0.827814569536424,
SlideEditing,        0.344,        0.297,0.863372093023256,
SlideShow,        0.297,        0.203,0.683501683501684,
25AVG,-,-,0.83330416991232,
