Sequence, VVC_Bits, VVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet,   20637968,      792.453,   18641984,      954.297,-9.67141726356006,1.20423167052179,
Traffic,   21258352,      826.062,   19430136,     1157.016,-8.59998931243588,1.40064062988008,
BasketballDrive,   10335248,      606.953,   10188816,      620.547,-1.41682134768319,1.02239712135866,
BQTerrace,   11801712,      556.516,   11310280,      685.484,-4.16407382250982,1.23174176483695,
Cactus,   12500888,      627.859,   12233952,      702.703,-2.13533630570884,1.11920510815326,
Kimono,   10073872,      556.484,    9473160,      704.188,-5.96306961216104,1.26542362403951,
ParkScene,   11948136,      600.766,   11366056,      609.625,-4.87172225023217,1.01474617405113,
BasketballDrill,    2104952,      108.391,    2064464,      114.562,-1.92346428802177,1.05693277117104,
BQMall,    2291440,      113.000,    2220480,      128.875,-3.09674265963761,1.14048672566372,
PartyScene,    2919048,      102.531,    2841792,      124.641,-2.64661629407944,1.21564209848729,
RaceHorsesC,    2312144,      101.609,    2170336,      130.531,-6.133182016345,1.28464014014507,
BasketballPass,     518096,       27.719,     478128,       34.672,-7.71440041999938,1.25083877484758,
BlowingBubbles,     676280,       26.750,     655008,       31.406,-3.14544271603478,1.17405607476636,
BQSquare,     649488,       28.391,     634952,       29.922,-2.23807060330599,1.05392553978373,
RaceHorses,     628824,       25.000,     583360,       31.422,-7.23000394386983,1.25688,
FourPeople,    4050928,      263.328,    3730240,      329.484,-7.9164082896561,1.25123040466642,
Johnny,    3737544,      292.078,    3508280,      336.453,-6.13408163221624,1.15192859441656,
KristenAndSara,    3699024,      282.953,    3462320,      330.906,-6.39909338247062,1.16947337543691,
Vidyo1,    3676352,      261.328,    3361792,      322.203,-8.5563079922706,1.23294480499602,
Vidyo3,    3672120,      269.734,    3391592,      327.500,-7.63940176246964,1.21415913455478,
Vidyo4,    3429472,      260.406,    3177080,      317.500,-7.3595002379375,1.21924994047756,
BasketballDrillText,    1988072,      101.844,    1944192,      109.094,-2.20716352325268,1.07118730607596,
ChinaSpeed,    2808248,      201.500,    2587568,      244.359,-7.85828032282049,1.21269975186104,
SlideEditing,    2590160,      210.703,    2403624,      225.625,-7.20171726843129,1.07082006426107,
SlideShow,    1315328,      139.859,    1086968,      153.422,-17.3614490073959,1.09697624035636,
25 AVG,-,-,-,-,-5.98335025098023,1.17529831339235,
