Sequence, HEVC_Bits, HEVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 2745534,       31.453, 2445703,       32.859,-10.9206806399047,1.0447016182876,
Traffic, 2827509,       32.750, 2541340,       35.484,-10.1208873252039,1.08348091603053,
BasketballDrive, 1347016,       17.719, 1316863,       20.422,-2.23850347731579,1.15254811219595,
BQTerrace, 1559249,       17.891, 1474806,       19.594,-5.41561995550422,1.09518752445364,
Cactus, 1617032,       18.328, 1570038,       20.406,-2.90618862211756,1.1133784373636,
Kimono, 1317995,       18.391, 1228529,       20.375,-6.78803789088729,1.10787885378718,
ParkScene, 1558270,       18.078, 1468649,       20.250,-5.75131395714478,1.1201460338533,
BasketballDrill, 280602,        3.656, 272974,        3.953,-2.71844106599383,1.0812363238512,
BQMall, 301394,        3.531, 288638,        4.172,-4.23233375581465,1.1815349759275,
PartyScene, 383050,        3.672, 367654,        3.969,-4.01931862681112,1.08088235294118,
RaceHorsesC, 309734,        3.703, 288196,        3.906,-6.95370866614579,1.05482041587902,
BasketballPass, 70251,        0.797, 63888,        0.969,-9.05752231284964,1.21580928481807,
BlowingBubbles, 87724,        0.875, 83676,        1.000,-4.6144726642652,1.14285714285714,
BQSquare, 84969,        0.891, 82168,        0.984,-3.29649636926408,1.1043771043771,
RaceHorses, 84458,        0.859, 77600,        0.969,-8.12001231381278,1.12805587892899,
FourPeople, 539519,        7.891, 490110,        8.828,-9.15797219375036,1.1187428716259,
Johnny, 492564,        7.844, 458261,        8.656,-6.96417115339326,1.10351861295258,
KristenAndSara, 491025,        7.750, 454271,        8.750,-7.48515859681279,1.12903225806452,
BasketballDrillText, 265942,        3.453, 257608,        3.922,-3.13376600912981,1.13582392122792,
ChinaSpeed, 363570,        6.422, 331372,        7.047,-8.85606623208736,1.09732170663345,
SlideEditing, 355230,        6.500, 327545,        7.422,-7.79354221208794,1.14184615384615,
SlideShow, 229853,        6.328, 202731,        6.672,-11.7997154703223,1.0543615676359,
22AVG,-,-,-,-,-6.47017861411905,1.11307009397902,
