Sequence, HEVC_Bits, HEVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 27478554,      198.719, 24401718,      200.297,-11.1972267536349,1.00794086121609,
Traffic, 28281580,      202.000, 25375150,      201.297,-10.276759643556,0.996519801980198,
BasketballDrive, 13451773,       97.484, 13166198,      102.062,-2.12295434958648,1.04696155266505,
BQTerrace, 15583635,       97.188, 14723169,      100.484,-5.52160006314316,1.03391365189118,
Cactus, 16219964,       98.969, 15734125,      104.250,-2.99531490945356,1.0533601430751,
Kimono, 13258329,       99.000, 12346674,      102.453,-6.87609275648538,1.03487878787879,
ParkScene, 15601629,       98.422, 14689961,      102.422,-5.84341545360424,1.04064132003007,
BasketballDrill, 2796371,       19.000, 2718186,       20.016,-2.7959451732263,1.05347368421053,
BQMall, 3012111,       19.188, 2882125,       20.016,-4.31544521433639,1.04315196998124,
PartyScene, 3819947,       19.438, 3670678,       20.281,-3.90761966069163,1.04336865932709,
RaceHorsesC, 3057790,       19.312, 2839018,       19.719,-7.15457896062189,1.02107497928749,
BasketballPass, 699596,        4.562, 635179,        4.672,-9.20774275438968,1.02411223147742,
BlowingBubbles, 880082,        4.688, 840961,        4.906,-4.44515397428876,1.04650170648464,
BQSquare, 849729,        4.719, 820480,        4.922,-3.44215626393827,1.04301758847213,
RaceHorses, 833035,        4.672, 762406,        4.828,-8.47851530848044,1.0333904109589,
FourPeople, 5393567,       43.344, 4892400,       44.484,-9.29193982386795,1.02630121816168,
Johnny, 4935512,       42.141, 4590013,       43.547,-7.00026663900321,1.0333641821504,
KristenAndSara, 4906397,       42.469, 4540740,       43.828,-7.45265823373037,1.0319998116273,
BasketballDrillText, 2646771,       18.719, 2561920,       19.438,-3.20583080289152,1.03841017148352,
ChinaSpeed, 3721246,       34.938, 3371022,       34.891,-9.41147131901519,0.998654759860324,
SlideEditing, 3577089,       37.312, 3283543,       37.922,-8.20628170000802,1.01634862778731,
SlideShow, 1052204,       27.922, 878635,       27.234,-16.4957555759149,0.975359931237017,
22AVG,-,-,-,-,-6.80203296972128,1.02921572960198,
