Sequence, HEVC_Bits, HEVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 27478554,      195.141, 24401718,      197.875,-11.1972267536349,1.01401038223643,
Traffic, 28281580,      194.906, 25375150,      198.906,-10.276759643556,1.02052271351318,
BasketballDrive, 13451773,       95.953, 13166198,      100.797,-2.12295434958648,1.05048304899274,
BQTerrace, 15583635,       95.688, 14723169,       99.156,-5.52160006314316,1.03624278906446,
Cactus, 16219964,       97.609, 15734125,      102.984,-2.99531490945356,1.05506664344476,
Kimono, 13258329,       97.641, 12346674,      101.234,-6.87609275648538,1.03679806638605,
ParkScene, 15601629,       97.125, 14689961,      100.891,-5.84341545360424,1.03877477477477,
BasketballDrill, 2796371,       18.703, 2718186,       19.781,-2.7959451732263,1.0576378121157,
BQMall, 3012111,       18.844, 2882125,       19.734,-4.31544521433639,1.04722988749735,
PartyScene, 3819947,       19.156, 3670678,       20.016,-3.90761966069163,1.04489455001044,
RaceHorsesC, 3057790,       18.859, 2839018,       19.422,-7.15457896062189,1.02985312052601,
BasketballPass, 699596,        4.453, 635179,        4.609,-9.20774275438968,1.03503256231754,
BlowingBubbles, 880082,        4.625, 840961,        4.812,-4.44515397428876,1.04043243243243,
BQSquare, 849729,        4.578, 820480,        4.828,-3.44215626393827,1.05460899956313,
RaceHorses, 833035,        4.578, 762406,        4.750,-8.47851530848044,1.03757099169943,
FourPeople, 5393567,       42.500, 4892400,       43.828,-9.29193982386795,1.03124705882353,
Johnny, 4935512,       41.500, 4590013,       43.047,-7.00026663900321,1.03727710843373,
KristenAndSara, 4906397,       41.766, 4540740,       43.156,-7.45265823373037,1.03328065890916,
Vidyo1, 4955909,       42.656, 4463972,       44.781,-9.92627185043147,1.04981714178545,
Vidyo3, 4997542,       42.016, 4541916,       42.984,-9.11700191814296,1.02303884234577,
Vidyo4, 4608836,       41.469, 4190741,       42.172,-9.07159638572516,1.01695242229135,
BasketballDrillText, 2646771,       18.406, 2561920,       19.188,-3.20583080289152,1.04248614582201,
ChinaSpeed, 3721246,       34.344, 3371022,       34.156,-9.41147131901519,0.994525972513394,
SlideEditing, 3577089,       35.484, 3283543,       35.094,-8.20628170000802,0.989009130875888,
SlideShow, 1052204,       26.625, 878635,       25.625,-16.4957555759149,0.962441314553991,
25AVG,-,-,-,-,-7.11038381952671,1.03116938283715,
