Sequdece, HEVC_Time, EI_Time, x_Time
PeopleOnStreet,        7.016,        6.391,0.910917901938426,
Traffic,        7.109,        6.344,0.892389928259952,
BasketballDrive,        3.391,        3.406,1.0044234739015,
BQTerrace,        3.531,        3.359,0.951288586802605,
Cactus,        3.625,        3.672,1.01296551724138,
Kimono,        3.438,        3.391,0.986329261198371,
ParkScene,        3.578,        3.328,0.930128563443264,
BasketballDrill,        0.719,        0.688,0.956884561891516,
BQMall,        0.703,        0.703,1,
PartyScene,        0.750,        0.766,1.02133333333333,
RaceHorsesC,        0.719,        0.703,0.977746870653686,
BasketballPass,        0.172,        0.156,0.906976744186047,
BlowingBubbles,        0.203,        0.203,1,
BQSquare,        0.188,        0.188,1,
RaceHorses,        0.188,        0.172,0.914893617021276,
FourPeople,        1.500,        1.391,0.927333333333333,
Johnny,        1.406,        1.359,0.966571834992888,
KristenAndSara,        1.422,        1.375,0.966947960618847,
Vidyo1,        1.453,        1.297,0.892635925671025,
Vidyo3,        1.422,        1.359,0.955696202531646,
Vidyo4,        1.391,        1.281,0.920920201294033,
BasketballDrillText,        0.641,        0.672,1.04836193447738,
ChinaSpeed,        1.156,        1.062,0.918685121107267,
SlideEditing,        1.000,        0.969,0.969,
SlideShow,        0.531,        0.422,0.794726930320151,
25AVG,-,-,0.953086312168717,
