Sequdece, HEVC_Time, EI_Time, x_Time
PeopleOnStreet,        7.141,        6.781,0.949586892592074,
Traffic,        7.266,        7.094,0.976328103495734,
BasketballDrive,        4.141,        4.016,0.969814054576189,
BQTerrace,        4.188,        4.156,0.992359121298949,
Cactus,        4.359,        4.500,1.03234686854783,
Kimono,        4.422,        4.234,0.957485300768883,
ParkScene,        4.391,        4.328,0.985652470963334,
BasketballDrill,        0.891,        0.875,0.982042648709315,
BQMall,        0.891,        0.906,1.01683501683502,
PartyScene,        1.031,        1.031,1,
RaceHorsesC,        0.797,        0.797,1,
BasketballPass,        0.188,        0.172,0.914893617021276,
BlowingBubbles,        0.281,        0.203,0.722419928825623,
BQSquare,        0.234,        0.281,1.2008547008547,
RaceHorses,        0.219,        0.234,1.06849315068493,
FourPeople,        1.812,        1.688,0.931567328918322,
Johnny,        1.562,        1.641,1.050576184379,
KristenAndSara,        1.531,        1.562,1.02024820378837,
Vidyo1,        1.531,        1.562,1.02024820378837,
Vidyo3,        1.656,        1.547,0.934178743961353,
Vidyo4,        1.609,        1.547,0.961466749533872,
BasketballDrillText,        0.844,        0.812,0.962085308056872,
ChinaSpeed,        1.266,        1.297,1.02448657187994,
SlideEditing,        1.250,        1.281,1.0248,
SlideShow,        1.031,        0.906,0.878758486905917,
25AVG,-,-,0.983101106255435,
