Sequdece, HEVC_Time, EI_Time, x_Time
PeopleOnStreet,        6.047,        5.391,0.891516454440218,
Traffic,        6.125,        5.391,0.880163265306122,
BasketballDrive,        2.953,        2.906,0.984083982390789,
BQTerrace,        3.062,        2.953,0.964402351404311,
Cactus,        3.141,        3.172,1.00986946832219,
Kimono,        3.016,        2.938,0.974137931034483,
ParkScene,        3.141,        2.875,0.915313594396689,
BasketballDrill,        0.609,        0.625,1.02627257799672,
BQMall,        0.625,        0.625,1,
PartyScene,        0.672,        0.672,1,
RaceHorsesC,        0.625,        0.578,0.9248,
BasketballPass,        0.156,        0.125,0.801282051282051,
BlowingBubbles,        0.156,        0.156,1,
BQSquare,        0.172,        0.172,1,
RaceHorses,        0.172,        0.156,0.906976744186047,
FourPeople,        1.281,        1.188,0.927400468384075,
Johnny,        1.219,        1.141,0.936013125512715,
KristenAndSara,        1.219,        1.156,0.948318293683347,
Vidyo1,        1.250,        1.125,0.9,
Vidyo3,        1.219,        1.141,0.936013125512715,
Vidyo4,        1.188,        1.125,0.946969696969697,
BasketballDrillText,        0.562,        0.594,1.05693950177936,
ChinaSpeed,        0.984,        0.922,0.936991869918699,
SlideEditing,        0.859,        0.828,0.963911525029104,
SlideShow,        0.750,        0.625,0.833333333333333,
25AVG,-,-,0.946588374435306,
