Sequdece, HEVC_Time, EI_Time, x_Time
PeopleOnStreet,        6.875,        6.297,0.915927272727273,
Traffic,        6.984,        6.312,0.903780068728522,
BasketballDrive,        3.359,        3.375,1.00476332241739,
BQTerrace,        3.453,        3.391,0.982044598899508,
Cactus,        3.578,        3.594,1.00447177193963,
Kimono,        3.422,        3.375,0.986265341905318,
ParkScene,        3.531,        3.328,0.942509204191447,
BasketballDrill,        0.672,        0.688,1.02380952380952,
BQMall,        0.688,        0.734,1.06686046511628,
PartyScene,        0.750,        0.766,1.02133333333333,
RaceHorsesC,        0.688,        0.656,0.953488372093023,
BasketballPass,        0.188,        0.156,0.829787234042553,
BlowingBubbles,        0.172,        0.203,1.18023255813953,
BQSquare,        0.188,        0.188,1,
RaceHorses,        0.172,        0.172,1,
FourPeople,        1.500,        1.359,0.906,
Johnny,        1.375,        1.359,0.988363636363636,
KristenAndSara,        1.391,        1.344,0.966211358734723,
Vidyo1,        1.438,        1.328,0.923504867872045,
Vidyo3,        1.438,        1.328,0.923504867872045,
Vidyo4,        1.391,        1.297,0.932422717469446,
BasketballDrillText,        0.641,        0.656,1.02340093603744,
ChinaSpeed,        1.141,        1.047,0.917616126205083,
SlideEditing,        1.031,        0.953,0.924345295829292,
SlideShow,        0.500,        0.438,0.876,
25AVG,-,-,0.967865714949082,
