Sequence, HEVC_Bits, HEVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 413973917,     5409.234, 367284621,     5414.781,-11.2783182907632,1.0010254686708,
Traffic, 424267149,     5404.688, 380675723,     5443.406,-10.2745230458557,1.00716378077698,
BasketballDrive, 709553478,     8441.344, 689248323,     8813.750,-2.86168070900499,1.04411690839753,
BQTerrace, 972424889,     9518.438, 940791871,     9879.594,-3.25300373919162,1.03794278010741,
Cactus, 802010701,     8511.969, 779407016,     8884.906,-2.81837698322681,1.04381324697024,
Kimono, 320997125,     4272.078, 301322847,     4405.469,-6.12911346168599,1.03122391491916,
ParkScene, 379055350,     4317.359, 354603217,     4453.984,-6.45080804162242,1.03164550365165,
BasketballDrill, 142128872,     1728.297, 137603950,     1821.906,-3.18367544632311,1.054162565809,
BQMall, 171884749,     2074.906, 163548554,     2158.797,-4.84987472623298,1.04043122917376,
PartyScene, 179808302,     1767.859, 172631128,     1839.406,-3.99156986644588,1.04047098778805,
RaceHorsesC, 89379837,     1042.422, 83283847,     1067.047,-6.82031899431636,1.02362287058408,
BasketballPass, 34743695,      417.578, 31113673,      421.031,-10.4480021483035,1.00826911379431,
BlowingBubbles, 46566570,      429.734, 44689523,      448.422,-4.03088954157457,1.04348736660353,
BQSquare, 52489245,      509.812, 50869696,      533.688,-3.08548732221239,1.04683295018556,
RaceHorses, 24018559,      255.172, 21983496,      260.219,-8.47287716136509,1.01977881585754,
FourPeople, 324570017,     4680.891, 294140879,     4776.766,-9.37521533296774,1.02048221161313,
Johnny, 297749395,     4544.312, 276540567,     4695.609,-7.12304654724823,1.03329370870662,
KristenAndSara, 296361368,     4586.484, 274000416,     4705.391,-7.5451642536621,1.02592552377813,
BasketballDrillText, 138793217,     1712.719, 133597382,     1785.609,-3.74357991860654,1.04255806118809,
ChinaSpeed, 192568051,     3183.453, 174312874,     3140.203,-9.47985759070699,0.986414123280601,
SlideEditing, 105354901,     1940.156, 96921383,     1927.781,-8.00486538352876,0.993621646919114,
SlideShow, 73270452,     2567.703, 63043248,     2523.547,-13.9581560108296,0.982803307080297,
22AVG,-,-,-,-,-6.68992747798521,1.02541300390253,
