Sequence, HEVC_Bits, HEVC_Time, EI_Bits, EI_Time, Ratio_Bits, x_Time
PeopleOnStreet, 2746758,       35.844, 2441979,       34.484,-11.0959538481366,0.962057806048432,
Traffic, 2826927,       33.062, 2541455,       34.391,-10.0983152377122,1.04019720525074,
BasketballDrive, 1349130,       19.328, 1319542,       20.719,-2.19311704579989,1.07196812913907,
BQTerrace, 1558426,       19.641, 1473833,       20.516,-5.42810502391516,1.04454966651392,
Cactus, 1627085,       20.062, 1579512,       21.250,-2.92381774768989,1.05921642906988,
Kimono, 1331632,       19.984, 1240869,       20.297,-6.81592211662081,1.01566253002402,
ParkScene, 1560503,       19.609, 1469271,       20.625,-5.84632006474835,1.05181294303636,
BasketballDrill, 278807,        3.875, 271535,        4.172,-2.60825589027535,1.07664516129032,
BQMall, 300880,        3.891, 288359,        3.922,-4.16145971816006,1.00796710357235,
PartyScene, 381062,        3.922, 366587,        4.188,-3.79859445444573,1.06782253952065,
RaceHorsesC, 304306,        3.922, 282915,        4.109,-7.02943747412144,1.04767975522693,
BasketballPass, 69897,        0.938, 63535,        0.953,-9.10196431892642,1.01599147121535,
BlowingBubbles, 88467,        0.938, 84828,        0.969,-4.11339821628404,1.03304904051173,
BQSquare, 84996,        0.938, 82364,        1.078,-3.09661631135583,1.14925373134328,
RaceHorses, 82911,        0.969, 76034,        0.984,-8.29443620267516,1.01547987616099,
FourPeople, 539117,        8.656, 489349,        8.859,-9.2313913306388,1.02345194085028,
Johnny, 493975,        8.281, 459445,        8.844,-6.99023229920542,1.06798695809685,
KristenAndSara, 490450,        8.531, 454385,        8.891,-7.35345091242736,1.04219903879967,
Vidyo1, 490283,        8.750, 441589,        8.750,-9.9318148905836,1,
Vidyo3, 489573,        8.422, 445015,        8.672,-9.10140060828518,1.02968416053194,
Vidyo4, 456565,        8.453, 415827,        8.703,-8.92271637116292,1.02957529871052,
BasketballDrillText, 263781,        3.844, 255849,        3.984,-3.00703993085173,1.03642039542144,
ChinaSpeed, 375302,        7.141, 341035,        7.328,-9.13051355974655,1.02618680857023,
SlideEditing, 359317,        7.234, 332970,        7.344,-7.332522535811,1.01520597179983,
SlideShow, 113998,        5.625, 92970,        5.531,-18.4459376480289,0.983288888888889,
25AVG,-,-,-,-,-7.04210935030434,1.03653411398375,
