TS Part
Sequence                                                        , QP, kbps      , Ypsnr  , Upsnr  , Vpsnr  , EncTime
10_outdoor_dusk_cross_lightvar_1920x1088                        , 37, 11866.7600, 32.1574, 41.9718, 42.9024, 112.750
10_outdoor_dusk_cross_lightvar_1920x1088                        , 41, 7096.4933 , 29.8012, 40.9246, 41.9158, 138.953
10_outdoor_dusk_cross_lightvar_1920x1088                        , 45, 4109.7733 , 27.6139, 39.2763, 40.3751, 134.453
10_outdoor_dusk_cross_lightvar_1920x1088                        , 49, 2252.2133 , 25.5618, 37.1700, 38.1408, 103.203
7_indoor_night_noPeople_1920x1088                               , 37, 4426.2133 , 37.1650, 46.2678, 47.5988, 107.156
7_indoor_night_noPeople_1920x1088                               , 41, 3000.6667 , 34.4757, 45.2700, 46.6639, 133.281
7_indoor_night_noPeople_1920x1088                               , 45, 1981.3067 , 31.8186, 43.3504, 45.1917, 124.172
7_indoor_night_noPeople_1920x1088                               , 49, 1255.6133 , 29.2471, 40.8882, 43.3123, 105.484
outdoor_day_8M_1920x1088_872frames                              , 37, 41920.2933, 27.9585, 40.1229, 44.2396, 146.172
outdoor_day_8M_1920x1088_872frames                              , 41, 25094.3733, 25.0645, 38.7550, 43.1662, 127.859
outdoor_day_8M_1920x1088_872frames                              , 45, 13484.0000, 22.4084, 37.1094, 41.9235, 122.797
outdoor_day_8M_1920x1088_872frames                              , 49, 5932.8000 , 20.0678, 35.3119, 40.3039, 112.250
12_indoor_day_OnePeopleSitting_1920x1088                        , 37, 4333.5200 , 36.1668, 45.0083, 46.3600, 113.547
12_indoor_day_OnePeopleSitting_1920x1088                        , 41, 2742.0933 , 33.9488, 44.0732, 45.4638, 144.203
12_indoor_day_OnePeopleSitting_1920x1088                        , 45, 1745.8400 , 31.7179, 42.1708, 43.7594, 138.688
12_indoor_day_OnePeopleSitting_1920x1088                        , 49, 1085.6667 , 29.4719, 40.1003, 41.7104, 131.250
8_outdoor_day_road_many_cars_1920x1088                          , 37, 6840.7867 , 34.2880, 45.4603, 46.9080, 154.562
8_outdoor_day_road_many_cars_1920x1088                          , 41, 3878.5867 , 31.8910, 44.5585, 46.3503, 136.766
8_outdoor_day_road_many_cars_1920x1088                          , 45, 2019.0267 , 29.7614, 42.9727, 44.4584, 135.297
8_outdoor_day_road_many_cars_1920x1088                          , 49, 999.5867  , 27.8774, 41.0280, 43.2429, 143.797
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 37, 14622.1200, 31.6853, 39.5819, 40.7686, 155.391
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 41, 8716.2400 , 29.1408, 38.7169, 40.0135, 133.828
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 45, 5000.2267 , 26.8561, 37.4918, 38.7224, 130.516
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 49, 2761.4133 , 24.7666, 36.0370, 37.3013, 115.844
13_outdoor_day_road_pixelmove_1920x1088                         , 37, 11426.4000, 31.9292, 41.2840, 43.4810, 127.344
13_outdoor_day_road_pixelmove_1920x1088                         , 41, 6799.4000 , 29.6608, 40.4469, 42.6997, 125.828
13_outdoor_day_road_pixelmove_1920x1088                         , 45, 3856.8800 , 27.4228, 39.1535, 41.6149, 118.891
13_outdoor_day_road_pixelmove_1920x1088                         , 49, 2060.2133 , 25.3402, 37.6161, 39.9874, 112.656
9_indoor_day_canteen_1920x1088                                  , 37, 10109.5333, 33.8386, 42.6465, 41.8413, 125.344
9_indoor_day_canteen_1920x1088                                  , 41, 6402.1867 , 31.2576, 41.7770, 40.8329, 113.812
9_indoor_day_canteen_1920x1088                                  , 45, 3859.9467 , 28.8369, 40.3151, 39.2092, 118.172
9_indoor_day_canteen_1920x1088                                  , 49, 2192.9867 , 26.5927, 38.4494, 37.1557, 102.859
outdoor_night_8M_1920x1088                                      , 37, 14771.3600, 31.5685, 41.8202, 44.6866, 118.938
outdoor_night_8M_1920x1088                                      , 41, 8143.6400 , 28.9639, 40.6907, 43.5802, 124.500
outdoor_night_8M_1920x1088                                      , 45, 4248.5600 , 26.7400, 39.0961, 41.7608, 119.078
outdoor_night_8M_1920x1088                                      , 49, 2068.9733 , 24.8980, 37.1740, 39.8596, 109.844
1_outdoor_day_cross_1920x1088                                   , 37, 14548.9867, 31.6919, 39.5510, 40.7575, 138.969
1_outdoor_day_cross_1920x1088                                   , 41, 8660.3333 , 29.1501, 38.6857, 39.9744, 126.953
1_outdoor_day_cross_1920x1088                                   , 45, 4966.3200 , 26.8725, 37.4880, 38.7071, 117.672
1_outdoor_day_cross_1920x1088                                   , 49, 2739.4000 , 24.7903, 36.0802, 37.2553, 110.281
hk_floor_12M_1920x1088                                          , 37, 7954.2533 , 33.7560, 42.5330, 43.9175, 125.625
hk_floor_12M_1920x1088                                          , 41, 4891.5333 , 31.5592, 41.5709, 42.9672, 114.375
hk_floor_12M_1920x1088                                          , 45, 3033.8933 , 29.3530, 40.2745, 41.3711, 108.953
hk_floor_12M_1920x1088                                          , 49, 1827.3600 , 27.1291, 38.4437, 39.4319, 115.812
outdoor_wdroff_8M_1920x1088                                     , 37, 27265.7067, 30.0699, 40.2074, 43.4644, 148.016
outdoor_wdroff_8M_1920x1088                                     , 41, 16879.3333, 27.0650, 39.0325, 42.4411, 146.984
outdoor_wdroff_8M_1920x1088                                     , 45, 9512.2133 , 24.3357, 37.4409, 40.9154, 127.016
outdoor_wdroff_8M_1920x1088                                     , 49, 4595.5200 , 21.9475, 35.7773, 39.2526, 117.984
2_outdoor_dusk_cross_1920x1088                                  , 37, 14890.4400, 31.7354, 40.0482, 41.9485, 119.719
2_outdoor_dusk_cross_1920x1088                                  , 41, 8980.5467 , 29.1497, 39.2312, 41.2451, 114.000
2_outdoor_dusk_cross_1920x1088                                  , 45, 5167.8267 , 26.7838, 38.0449, 40.0522, 107.000
2_outdoor_dusk_cross_1920x1088                                  , 49, 2854.7333 , 24.6454, 36.6459, 38.4575, 110.609
indoor1_54db_wdroff_NR50_8M_1920x1088                           , 37, 5177.4267 , 32.7448, 41.6423, 45.0777, 116.531
