Sequence, HEVC_Bits, HEVC_Time, VVC_Bits, VVC_Time, Ratio_Bits, x_Time
PeopleOnStreet, 659484.0720,      196.234,  588723.8880,     4458.094,-10.7296274473176,22.7182547366919,
Traffic, 678756.6960,      197.234,  598641.0000,     4862.734,-11.8033010167166,24.6546437226847,
BasketballDrive, 538068.8800,       97.000,  509619.5600,     2873.406,-5.28730076342642,29.6227422680412,
BQTerrace, 748012.0320,       96.797,  678984.0000,     2523.156,-9.22819808331639,26.0664690021385,
Cactus, 648796.5200,       99.453,  616494.9600,     2580.078,-4.97868884993404,25.9426864951284,
Kimono, 254558.9376,       98.234,  235251.8016,     2345.234,-7.5845445388911,23.8739540281369,
ParkScene, 299550.2976,       98.172,  279079.2384,     2520.891,-6.83393051651571,25.6783094976164,
BasketballDrill, 111852.8000,       18.891,  104339.6800,      444.469,-6.71697087600848,23.5280821555238,
BQMall, 144578.8800,       19.016,  133496.0640,      499.875,-7.66558435090934,26.2870740429112,
PartyScene, 152795.8400,       19.281,  142295.0400,      448.391,-6.87243841193582,23.2555884030911,
RaceHorsesC,  73385.7360,       18.969,   67001.7840,      455.422,-8.69917282017858,24.0087511202488,
BasketballPass,  27981.8000,        4.562,   24306.7200,      138.922,-13.1338226990401,30.4519947391495,
BlowingBubbles,  35201.2400,        4.672,   32637.7600,      112.984,-7.28235709878402,24.1832191780822,
BQSquare,  40784.5440,        4.656,   38009.7600,      117.578,-6.80351850936472,25.2530068728522,
RaceHorses,  19991.6160,        4.656,   17941.3200,      106.156,-10.2557792226501,22.7998281786942,
FourPeople, 258888.7680,       43.094,  227917.0560,     1180.812,-11.963327818069,27.4008446651506,
Johnny, 236902.1280,       42.156,  212867.8080,     1217.688,-10.1452528953222,28.8852832337034,
KristenAndSara, 235504.6080,       42.250,  209283.2160,     1229.312,-11.1341311843886,29.0961420118343,
BasketballDrillText, 105868.8000,       18.547,   97981.3600,      419.438,-7.45020251481079,22.6148703294333,
ChinaSpeed,  89308.6800,       35.047,   73436.9280,      942.422,-17.771791050993,26.8902331155306,
SlideEditing,  85848.9120,       35.719,   69028.5360,      893.875,-19.5929984529099,25.025196674039,
SlideShow,  16834.4480,       26.750,   13523.2160,      354.375,-19.6693826848377,13.2476635514019,
AVG,-,-,-,-,-10.0728328093782,25.0674926373675,
