Sequence, HEVC_Bits, HEVC_Time, VVC_Bits, VVC_Time, Ratio_Bits, x_Time
PeopleOnStreet,   22024560,      196.234,   19662008,     4458.094,-10.7268976088512,22.7182547366919,
Traffic,   22626928,      197.234,   19957360,     4862.734,-11.7981901917927,24.6546437226847,
BasketballDrive,   10767728,       97.000,   10194736,     2873.406,-5.3213825609265,29.6227422680412,
BQTerrace,   12462952,       96.797,   11306824,     2523.156,-9.2765181154513,26.0664690021385,
Cactus,   12986648,       99.453,   12337480,     2580.078,-4.99873408442271,25.9426864951284,
Kimono,   10571160,       98.234,    9771208,     2345.234,-7.56730576398427,23.8739540281369,
ParkScene,   12485744,       98.172,   11629480,     2520.891,-6.85793333581083,25.6783094976164,
BasketballDrill,    2226120,       18.891,    2076920,      444.469,-6.70224426356171,23.5280821555238,
BQMall,    2405520,       19.016,    2221264,      499.875,-7.65971598656424,26.2870740429112,
PartyScene,    3049496,       19.281,    2842576,      448.391,-6.78538355190497,23.2555884030911,
RaceHorsesC,    2436408,       18.969,    2219936,      455.422,-8.88488299168284,24.0087511202488,
BasketballPass,     553800,        4.562,     479984,      138.922,-13.3289996388588,30.4519947391495,
BlowingBubbles,     705408,        4.672,     654640,      112.984,-7.1969696969697,24.1832191780822,
BQSquare,     681128,        4.656,     634320,      117.578,-6.87212976121962,25.2530068728522,
RaceHorses,     667176,        4.656,     597440,      106.156,-10.4524143554325,22.7998281786942,
FourPeople,    4319176,       43.094,    3801936,     1180.812,-11.9754323509855,27.4008446651506,
Johnny,    3959480,       42.156,    3557264,     1217.688,-10.1583036156263,28.8852832337034,
KristenAndSara,    3925320,       42.250,    3487328,     1229.312,-11.1581221403605,29.0961420118343,
BasketballDrillText,    2107056,       18.547,    1949712,      419.438,-7.46748069344147,22.6148703294333,
ChinaSpeed,    3008624,       35.047,    2469608,      942.422,-17.9156983391743,26.8902331155306,
SlideEditing,    2904352,       35.719,    2342696,      893.875,-19.3384272980686,25.025196674039,
SlideShow,    1730512,       26.750,    1387448,      354.375,-19.8244219051934,13.2476635514019,
AVG,-,-,-,-,-10.1030721931947,25.0674926373675,
