Sequence, HEVC_Bits, HEVC_Time, VVC_Bits, VVC_Time, Ratio_Bits, x_Time
PeopleOnStreet, 659484.0720,      198.562,  588740.7600,     4356.312,-10.7270690837852,21.9393035928325,
Traffic, 678756.6960,      197.297,  598658.0640,     4771.016,-11.8007870083686,24.1818983562852,
BasketballDrive, 538068.8800,       97.062,  509686.2800,     2878.750,-5.27490086399347,29.6588778306649,
BQTerrace, 748012.0320,       97.094,  679322.5440,     2494.750,-9.18293891828735,25.6941726574248,
Cactus, 648796.5200,       98.656,  616637.6400,     2553.719,-4.95669736329658,25.8850855497892,
Kimono, 254558.9376,       98.406,  235261.8624,     2271.266,-7.58059229109542,23.0805641932402,
ParkScene, 299550.2976,       98.328,  279090.0096,     2451.812,-6.83033472639755,24.9350337645432,
BasketballDrill, 111852.8000,       18.891,  104389.8000,      430.766,-6.67216198432225,22.8027102853211,
BQMall, 144578.8800,       19.016,  133501.1040,      490.234,-7.66209836457442,25.7800799326883,
PartyScene, 152795.8400,       19.250,  142291.8000,      438.047,-6.87455888851425,22.7556883116883,
RaceHorsesC,  73385.7360,       19.078,   67008.0720,      449.562,-8.69060439756304,23.564419750498,
BasketballPass,  27981.8000,        4.547,   24310.1600,      137.328,-13.121528993846,30.2018913569386,
BlowingBubbles,  35201.2400,        4.766,   32636.8400,      109.406,-7.28497064307961,22.9555182543013,
BQSquare,  40784.5440,        4.641,   38019.3120,      118.469,-6.78009787237048,25.5266106442577,
RaceHorses,  19991.6160,        5.125,   17935.7520,      106.656,-10.2836308980725,20.8109268292683,
FourPeople, 258888.7680,       45.234,  227876.3520,     1197.406,-11.979050400518,26.471371092541,
Johnny, 236902.1280,       41.938,  212970.0960,     1221.016,-10.1020755710561,29.1147884973055,
KristenAndSara, 235504.6080,       42.172,  209339.8560,     1223.531,-11.1100806995675,29.0128758417908,
BasketballDrillText, 105868.8000,       18.531,   98011.5200,      413.469,-7.4217144238907,22.3122875182127,
ChinaSpeed,  89308.6800,       34.906,   73411.2720,      926.141,-17.8005183818639,26.5324299547356,
SlideEditing,  85848.9120,       35.875,   69035.2560,      877.203,-19.5851707474173,24.4516515679442,
SlideShow,  16834.4480,       26.875,   13509.2480,      351.703,-19.7523554083864,13.086623255814,
AVG,-,-,-,-,-10.0669971786485,24.5797640471857,
