Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3240197,      860.969,
Traffic, 4285721,      854.922,
BasketballDrive, 1820979,      451.891,
BQTerrace, 1984739,      455.156,
Cactus, 2460313,      461.266,
Kimono, 1897982,      454.000,
ParkScene, 2170859,      455.766,
BasketballDrill, 392699,       87.922,
BQMall, 402577,       88.609,
PartyScene, 483552,       90.203,
RaceHorsesC, 389252,       87.969,
BasketballPass, 82630,       21.719,
BlowingBubbles, 121069,       22.203,
BQSquare, 91600,       21.688,
RaceHorses, 107128,       21.625,
FourPeople, 607276,      197.641,
Johnny, 561619,      194.609,
KristenAndSara, 583889,      194.344,
BasketballDrillText, 375298,       87.078,
ChinaSpeed, 443940,      158.250,
SlideEditing, 521728,      174.453,
SlideShow, 106994,      124.062,
