Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 25460649,      265.438,
Traffic, 26326355,      264.219,
BasketballDrive, 13413428,      131.516,
BQTerrace, 15120425,      130.266,
Cactus, 16148248,      133.219,
Kimono, 13103686,      132.891,
ParkScene, 15156389,      132.438,
BasketballDrill, 2797182,       26.578,
BQMall, 2978808,       26.719,
PartyScene, 3779162,       27.281,
RaceHorsesC, 2984278,       27.000,
BasketballPass, 663258,        6.609,
BlowingBubbles, 876186,        6.859,
BQSquare, 842291,        6.672,
RaceHorses, 809526,        6.781,
FourPeople, 5135395,       60.266,
Johnny, 4774860,       59.391,
KristenAndSara, 4730478,       59.125,
BasketballDrillText, 2637555,       26.156,
ChinaSpeed, 3447549,       48.984,
SlideEditing, 3358225,       52.391,
SlideShow, 910062,       42.172,
