Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27481432,      211.141,
Traffic, 28290950,      207.484,
BasketballDrive, 13456454,      131.625,
BQTerrace, 15603152,      131.812,
Cactus, 16223428,      133.453,
Kimono, 13260224,      131.344,
ParkScene, 15597380,      133.234,
BasketballDrill, 2803223,       25.625,
BQMall, 3013966,       25.906,
PartyScene, 3820148,       26.516,
RaceHorsesC, 3058724,       25.859,
BasketballPass, 701489,        6.266,
BlowingBubbles, 881164,        6.688,
BQSquare, 850007,        6.547,
RaceHorses, 833712,        6.594,
FourPeople, 5394984,       57.688,
Johnny, 4940646,       56.484,
KristenAndSara, 4910998,       56.406,
BasketballDrillText, 2652403,       24.922,
ChinaSpeed, 3724456,       47.031,
SlideEditing, 3576672,       49.812,
SlideShow, 1052984,       39.344,
