HM Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
BasketballDrill,22,3218.1125,40.8178,43.4262,43.9866,164.906
BasketballDrill,27,1491.4125,37.7243,41.2245,41.2959,129.188
BasketballDrill,32,753.3875,34.8488,39.0619,38.9763,111.969
BasketballDrill,37,387.7250,32.2382,37.0726,36.8116,99.625
BQMall,22,4274.2650,39.6475,43.1173,44.5952,145.938
BQMall,27,2010.9600,36.9501,41.1975,42.1966,115.812
BQMall,32,1057.2150,34.1634,39.3055,40.0099,99.969
BQMall,37,562.7550,31.2312,37.6951,38.2889,90.359
PartyScene,22,9690.4125,38.0141,40.9515,41.5072,212.156
PartyScene,27,4511.9500,33.9577,38.4504,38.8462,158.312
PartyScene,32,2206.4250,30.6055,36.4566,36.7002,127.828
PartyScene,37,1028.8250,27.5692,34.9525,34.9747,105.219
RaceHorsesC,22,5333.8575,38.4184,41.0362,42.0561,260.812
RaceHorsesC,27,2182.4700,34.7784,38.7397,39.8129,194.469
RaceHorsesC,32,1056.5325,31.8282,37.0945,38.1324,160.562
RaceHorsesC,37,504.7425,29.0074,35.7284,36.5874,135.109
BasketballPass,22,768.6375,41.7645,44.8832,44.3870,29.406
BasketballPass,27,381.9750,38.0773,42.2162,41.4675,24.469
BasketballPass,32,198.5875,34.7903,39.7454,39.1067,21.797
BasketballPass,37,104.8375,31.7879,37.9371,37.1918,19.797
BlowingBubbles,22,1696.7750,38.1466,41.1553,43.0568,46.188
BlowingBubbles,27,738.9875,34.7421,38.8142,40.6500,33.688
BlowingBubbles,32,350.5625,31.8515,36.8012,38.4879,27.422
BlowingBubbles,37,165.8000,29.2258,35.0624,36.7710,23.234
BQSquare,22,1563.4500,38.6467,44.0732,44.8300,35.297
BQSquare,27,698.2500,35.0209,41.9087,42.5072,25.562
BQSquare,32,355.0200,31.8901,39.8666,40.5696,21.344
BQSquare,37,203.3400,29.2099,38.5482,39.0527,19.234
RaceHorses,22,1389.8325,38.8848,41.2683,41.6842,61.281
RaceHorses,27,668.3625,34.7747,38.6103,38.9974,47.219
RaceHorses,32,336.9000,31.4007,36.7068,36.8956,38.703
RaceHorses,37,168.5100,28.4700,34.9748,35.0220,31.938
FourPeople,22,2508.6600,42.6981,46.9371,48.3036,204.422
