
HM software: Decoder Version [15.0][Linux][GCC 4.8.5][64 bit] 

POC    0 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC    1 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC    2 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC    3 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC    4 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC    5 TId: 0 ( I-SLICE, QP 26 ) [DT  0.050] [L0 ] [L1 ] [:,,,(unk)] 
POC    6 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC    7 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC    8 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC    9 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   10 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   11 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   12 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   13 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   14 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   15 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   16 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   17 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   18 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   19 TId: 0 ( I-SLICE, QP 26 ) [DT  0.090] [L0 ] [L1 ] [:,,,(unk)] 
POC   20 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   21 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   22 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
