Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27752919,      620.240,
Traffic, 28628538,      636.760,
BasketballDrive, 13633399,      397.370,
BQTerrace, 15868201,      396.140,
Cactus, 16351892,      404.870,
Kimono, 13418691,      399.820,
ParkScene, 15730329,      402.790,
BasketballDrill, 2831704,       80.350,
BQMall, 3040666,       81.140,
PartyScene, 3834697,       82.010,
RaceHorsesC, 3076302,       79.740,
BasketballPass, 710602,       19.930,
BlowingBubbles, 884806,       20.110,
BQSquare, 854446,       19.970,
RaceHorses, 833791,       20.220,
FourPeople, 5465148,      180.440,
Johnny, 5002478,      176.600,
KristenAndSara, 4967598,      177.080,
BasketballDrillText, 2681475,       79.600,
ChinaSpeed, 3788895,      144.020,
SlideEditing, 3655233,      156.590,
SlideShow, 1101079,      104.500,
