Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3102577,      852.844,
Traffic, 4158485,      868.500,
BasketballDrive, 1790969,      462.188,
BQTerrace, 1946857,      463.203,
Cactus, 2421799,      473.219,
Kimono, 1803281,      465.125,
ParkScene, 2093582,      468.672,
BasketballDrill, 394355,       90.203,
BQMall, 392185,       90.281,
PartyScene, 473404,       92.016,
RaceHorsesC, 374505,       89.562,
BasketballPass, 79546,       21.891,
BlowingBubbles, 118402,       22.844,
BQSquare, 89388,       22.266,
RaceHorses, 103421,       22.359,
FourPeople, 575414,      200.719,
Johnny, 534172,      198.531,
KristenAndSara, 555848,      197.469,
BasketballDrillText, 375593,       89.078,
ChinaSpeed, 426264,      159.859,
SlideEditing, 500751,      174.469,
SlideShow, 96577,      123.203,
