Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3459115,      764.266,
Traffic, 4547233,      790.297,
BasketballDrive, 1803279,      397.375,
BQTerrace, 2046038,      399.203,
Cactus, 2470618,      406.828,
Kimono, 2062985,      400.172,
ParkScene, 2288151,      403.500,
BasketballDrill, 394902,       78.078,
BQMall, 414997,       77.672,
PartyScene, 502919,       79.031,
RaceHorsesC, 431329,       77.234,
BasketballPass, 90764,       19.047,
BlowingBubbles, 128489,       19.578,
BQSquare, 92781,       19.016,
RaceHorses, 117835,       19.234,
FourPeople, 697598,      173.453,
Johnny, 604638,      171.047,
KristenAndSara, 641218,      170.172,
BasketballDrillText, 381060,       76.812,
ChinaSpeed, 476334,      138.797,
SlideEditing, 526312,      152.922,
SlideShow, 120847,      103.922,
