Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3496723,      389.390,
Traffic, 4505010,      391.320,
BasketballDrive, 1820827,      198.170,
BQTerrace, 2067000,      197.540,
Cactus, 2440179,      199.240,
Kimono, 2024557,      198.910,
ParkScene, 2258510,      198.030,
BasketballDrill, 395945,       38.360,
BQMall, 413063,       38.260,
PartyScene, 495723,       38.500,
RaceHorsesC, 425110,       38.150,
BasketballPass, 92804,        9.390,
BlowingBubbles, 125351,        9.610,
BQSquare, 92820,        9.320,
RaceHorses, 116640,        9.600,
FourPeople, 727213,       87.280,
Johnny, 653174,       87.220,
KristenAndSara, 680216,       87.530,
BasketballDrillText, 382349,       38.320,
ChinaSpeed, 486684,       71.720,
SlideEditing, 533229,       83.530,
SlideShow, 126833,       74.750,
