Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 319422,       15.340,
Traffic, 430462,       15.510,
BasketballDrive, 173872,        7.810,
BQTerrace, 196629,        7.760,
Cactus, 237992,        7.880,
Kimono, 188796,        7.860,
ParkScene, 216025,        7.820,
BasketballDrill, 38114,        1.520,
BQMall, 39322,        1.510,
PartyScene, 48185,        1.510,
RaceHorsesC, 40350,        1.490,
BasketballPass, 8695,        0.360,
BlowingBubbles, 12077,        0.370,
BQSquare, 8894,        0.360,
RaceHorses, 11089,        0.360,
FourPeople, 64081,        3.400,
Johnny, 56385,        3.360,
KristenAndSara, 59317,        3.380,
BasketballDrillText, 36761,        1.510,
ChinaSpeed, 42905,        2.770,
SlideEditing, 49760,        3.220,
SlideShow, 27753,        3.060,
