Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 349440,       16.880,
Traffic, 450296,       16.830,
BasketballDrive, 182475,        8.550,
BQTerrace, 206909,        8.510,
Cactus, 243418,        8.500,
Kimono, 202628,        8.480,
ParkScene, 225893,        8.480,
BasketballDrill, 39864,        1.650,
BQMall, 41275,        1.640,
PartyScene, 50119,        1.650,
RaceHorsesC, 43112,        1.620,
BasketballPass, 9375,        0.400,
BlowingBubbles, 12629,        0.410,
BQSquare, 9352,        0.410,
RaceHorses, 11842,        0.420,
FourPeople, 72692,        3.780,
Johnny, 65383,        3.760,
KristenAndSara, 68142,        3.740,
BasketballDrillText, 38495,        1.650,
ChinaSpeed, 47021,        3.100,
SlideEditing, 52893,        3.600,
SlideShow, 30646,        3.460,
