Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3485019,      433.297,
Traffic, 4574098,      455.094,
BasketballDrive, 1812463,      262.391,
BQTerrace, 2058611,      273.203,
Cactus, 2479767,      278.359,
Kimono, 2075309,      271.234,
ParkScene, 2296013,      274.344,
BasketballDrill, 396842,       57.438,
BQMall, 418007,       57.609,
PartyScene, 506388,       58.625,
RaceHorsesC, 435268,       56.062,
BasketballPass, 91793,       13.906,
BlowingBubbles, 129146,       13.797,
BQSquare, 93454,       14.000,
RaceHorses, 118918,       13.844,
FourPeople, 705919,      132.062,
Johnny, 609931,      126.328,
KristenAndSara, 646961,      130.844,
BasketballDrillText, 383410,       56.406,
ChinaSpeed, 482956,      105.188,
SlideEditing, 538422,      114.266,
SlideShow, 124861,       76.391,
