Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3348923,      264.540,
Traffic, 3571708,      266.720,
BasketballDrive, 1530627,      213.520,
BQTerrace, 1722210,      210.920,
Cactus, 2032826,      214.160,
Kimono, 1619263,      208.080,
ParkScene, 1884166,      212.630,
BasketballDrill, 351782,       44.040,
BQMall, 352317,       43.770,
PartyScene, 460455,       44.050,
RaceHorsesC, 384116,       43.530,
BasketballPass, 86023,       10.950,
BlowingBubbles, 103862,       11.030,
BQSquare, 87107,       10.810,
RaceHorses, 109046,       10.980,
FourPeople, 588827,       98.830,
Johnny, 553604,       97.830,
KristenAndSara, 566292,       98.480,
BasketballDrillText, 340605,       43.550,
ChinaSpeed, 473883,       82.490,
SlideEditing, 533187,       95.170,
SlideShow, 90164,       84.750,
