Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3338124,      685.578,
Traffic, 3482696,      691.922,
BasketballDrive, 1565646,      347.969,
BQTerrace, 1743764,      347.969,
Cactus, 2071639,      350.969,
Kimono, 1560707,      346.719,
ParkScene, 1896061,      349.688,
BasketballDrill, 356462,       67.438,
BQMall, 350191,       67.328,
PartyScene, 453493,       68.109,
RaceHorsesC, 364188,       65.500,
BasketballPass, 79247,       15.797,
BlowingBubbles, 102384,       16.219,
BQSquare, 87685,       15.938,
RaceHorses, 103360,       15.766,
FourPeople, 561909,      150.328,
Johnny, 542088,      150.828,
KristenAndSara, 553561,      151.703,
BasketballDrillText, 340879,       66.250,
ChinaSpeed, 454706,      120.859,
SlideEditing, 527858,      134.094,
SlideShow, 87545,       95.359,
