Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3502004,      393.620,
Traffic, 3755047,      397.420,
BasketballDrive, 1649919,      199.600,
BQTerrace, 1799000,      198.560,
Cactus, 2080605,      201.130,
Kimono, 1753063,      199.770,
ParkScene, 1972864,      200.650,
BasketballDrill, 369186,       38.790,
BQMall, 370258,       38.540,
PartyScene, 472264,       38.500,
RaceHorsesC, 398650,       38.720,
BasketballPass, 90801,        9.380,
BlowingBubbles, 107107,        9.600,
BQSquare, 91174,        9.480,
RaceHorses, 113009,        9.650,
FourPeople, 657960,       87.720,
Johnny, 625245,       87.630,
KristenAndSara, 638015,       87.690,
BasketballDrillText, 356116,       38.330,
ChinaSpeed, 504825,       73.110,
SlideEditing, 551328,       84.960,
SlideShow, 97142,       75.400,
