Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 325625,       15.340,
Traffic, 347891,       15.410,
BasketballDrive, 149641,        7.680,
BQTerrace, 169009,        7.630,
Cactus, 198212,        7.830,
Kimono, 154957,        7.740,
ParkScene, 184131,        7.730,
BasketballDrill, 34526,        1.490,
BQMall, 34328,        1.500,
PartyScene, 45165,        1.510,
RaceHorsesC, 37773,        1.490,
BasketballPass, 8563,        0.370,
BlowingBubbles, 10039,        0.370,
BQSquare, 8531,        0.360,
RaceHorses, 10735,        0.370,
FourPeople, 56732,        3.370,
Johnny, 53602,        3.360,
KristenAndSara, 54766,        3.390,
BasketballDrillText, 33363,        1.490,
ChinaSpeed, 46230,        2.810,
SlideEditing, 51747,        3.220,
SlideShow, 23646,        3.030,
