Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 350155,       16.870,
Traffic, 375655,       16.900,
BasketballDrive, 165251,        8.480,
BQTerrace, 180033,        8.400,
Cactus, 207427,        8.470,
Kimono, 174984,        8.540,
ParkScene, 197435,        8.460,
BasketballDrill, 37162,        1.650,
BQMall, 37121,        1.630,
PartyScene, 47390,        1.650,
RaceHorsesC, 40542,        1.620,
BasketballPass, 9253,        0.410,
BlowingBubbles, 10671,        0.400,
BQSquare, 9181,        0.400,
RaceHorses, 11543,        0.400,
FourPeople, 65748,        3.740,
Johnny, 62412,        3.770,
KristenAndSara, 63800,        3.750,
BasketballDrillText, 35865,        1.640,
ChinaSpeed, 51047,        3.150,
SlideEditing, 54774,        3.620,
SlideShow, 26501,        3.430,
