Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 3538222,      441.359,
Traffic, 3775850,      431.078,
BasketballDrive, 1591227,      276.438,
BQTerrace, 1791198,      252.797,
Cactus, 2110978,      276.984,
Kimono, 1788723,      249.172,
ParkScene, 1979654,      270.125,
BasketballDrill, 364248,       62.219,
BQMall, 369832,       63.719,
PartyScene, 480360,       63.062,
RaceHorsesC, 409825,       63.266,
BasketballPass, 89643,       15.844,
BlowingBubbles, 110992,       17.031,
BQSquare, 90247,       15.859,
RaceHorses, 115478,       16.141,
FourPeople, 633123,      137.375,
Johnny, 582769,      129.703,
KristenAndSara, 600536,      136.391,
BasketballDrillText, 352594,       61.859,
ChinaSpeed, 497493,      110.250,
SlideEditing, 552901,      115.828,
SlideShow, 97782,       81.406,
