Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 19460204,      361.470,
Traffic, 19185730,      363.530,
BasketballDrive, 10153219,      294.360,
BQTerrace, 11605333,      292.280,
Cactus, 11558351,      296.570,
Kimono, 9184405,      293.590,
ParkScene, 11127568,      290.400,
BasketballDrill, 2036675,       59.220,
BQMall, 2211429,       59.540,
PartyScene, 2806233,       60.450,
RaceHorsesC, 2180105,       58.300,
BasketballPass, 513743,       14.590,
BlowingBubbles, 632805,       14.850,
BQSquare, 659861,       15.130,
RaceHorses, 582025,       14.760,
FourPeople, 3985468,      131.790,
Johnny, 3714662,      130.630,
KristenAndSara, 3604492,      129.790,
BasketballDrillText, 1914598,       58.590,
ChinaSpeed, 2697069,      108.430,
SlideEditing, 2469154,      114.960,
SlideShow, 807791,       80.060,
