Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 20728516,      424.930,
Traffic, 20283934,      436.580,
BasketballDrive, 10245524,      230.330,
BQTerrace, 12053088,      230.800,
Cactus, 11820569,      231.610,
Kimono, 9606695,      228.870,
ParkScene, 11478794,      230.670,
BasketballDrill, 2071898,       44.730,
BQMall, 2263018,       44.770,
PartyScene, 2876288,       44.630,
RaceHorsesC, 2261504,       44.630,
BasketballPass, 527333,       11.070,
BlowingBubbles, 651185,       11.220,
BQSquare, 668996,       11.210,
RaceHorses, 606781,       11.400,
FourPeople, 4165726,      101.430,
Johnny, 3851497,      101.420,
KristenAndSara, 3790440,      100.660,
BasketballDrillText, 1947240,       44.640,
ChinaSpeed, 2870010,       83.750,
SlideEditing, 2569874,       87.240,
SlideShow, 902183,       58.010,
