Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 19450190,      359.910,
Traffic, 19171952,      355.310,
BasketballDrive, 10116818,      257.900,
BQTerrace, 11554520,      259.390,
Cactus, 11527944,      260.940,
Kimono, 9163920,      257.750,
ParkScene, 11100970,      258.550,
BasketballDrill, 2034348,       53.410,
BQMall, 2208511,       53.640,
PartyScene, 2805337,       54.260,
RaceHorsesC, 2173251,       53.150,
BasketballPass, 513312,       13.070,
BlowingBubbles, 632533,       13.210,
BQSquare, 659493,       13.270,
RaceHorses, 581228,       13.160,
FourPeople, 3966594,      119.520,
Johnny, 3681763,      118.240,
KristenAndSara, 3571982,      117.090,
BasketballDrillText, 1910985,       52.540,
ChinaSpeed, 2691584,       97.160,
SlideEditing, 2454355,      102.850,
SlideShow, 802997,       68.170,
