Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 20913232,      758.359,
Traffic, 20492291,      771.094,
BasketballDrive, 10306734,      385.328,
BQTerrace, 12137259,      385.375,
Cactus, 11885001,      387.953,
Kimono, 9669520,      384.594,
ParkScene, 11564779,      389.203,
BasketballDrill, 2094057,       75.453,
BQMall, 2281653,       75.266,
PartyScene, 2899578,       76.469,
RaceHorsesC, 2276492,       74.359,
BasketballPass, 536595,       18.391,
BlowingBubbles, 656419,       18.719,
BQSquare, 676803,       18.609,
RaceHorses, 611147,       18.547,
FourPeople, 4195313,      170.328,
Johnny, 3862077,      169.078,
KristenAndSara, 3800827,      169.094,
BasketballDrillText, 1970554,       74.594,
ChinaSpeed, 2916344,      137.406,
SlideEditing, 2616612,      148.406,
SlideShow, 915256,      101.625,
