Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 1943853,       25.580,
Traffic, 1917781,       25.890,
BasketballDrive, 1015559,       13.120,
BQTerrace, 1162465,       13.150,
Cactus, 1152024,       13.180,
Kimono, 910524,       13.020,
ParkScene, 1111596,       13.130,
BasketballDrill, 203906,        2.540,
BQMall, 221536,        2.550,
PartyScene, 280942,        2.570,
RaceHorsesC, 221060,        2.540,
BasketballPass, 51499,        0.640,
BlowingBubbles, 62917,        0.620,
BQSquare, 65975,        0.650,
RaceHorses, 59107,        0.630,
FourPeople, 398831,        5.800,
Johnny, 370370,        5.810,
KristenAndSara, 360132,        5.760,
BasketballDrillText, 191944,        2.510,
ChinaSpeed, 262975,        4.660,
SlideEditing, 245250,        4.960,
SlideShow, 172469,        4.620,
