Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2064887,       18.400,
Traffic, 2020367,       18.580,
BasketballDrive, 1021029,        9.300,
BQTerrace, 1202150,        9.440,
Cactus, 1174323,        9.410,
Kimono, 950575,        9.230,
ParkScene, 1143112,        9.330,
BasketballDrill, 206851,        1.810,
BQMall, 226083,        1.840,
PartyScene, 287360,        1.870,
RaceHorsesC, 227810,        1.840,
BasketballPass, 52638,        0.450,
BlowingBubbles, 64670,        0.440,
BQSquare, 66744,        0.450,
RaceHorses, 61438,        0.450,
FourPeople, 415066,        4.140,
Johnny, 382921,        4.140,
KristenAndSara, 377498,        4.130,
BasketballDrillText, 194642,        1.790,
ChinaSpeed, 278216,        3.420,
SlideEditing, 254924,        3.650,
SlideShow, 181185,        3.390,
