Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 24152401,      680.297,
Traffic, 24944572,      683.266,
BasketballDrive, 13200241,      350.094,
BQTerrace, 14548167,      345.750,
Cactus, 15780854,      349.969,
Kimono, 12252379,      348.172,
ParkScene, 14559159,      351.844,
BasketballDrill, 2739568,       68.219,
BQMall, 2854319,       68.344,
PartyScene, 3635748,       69.109,
RaceHorsesC, 2804991,       66.938,
BasketballPass, 616438,       16.375,
BlowingBubbles, 839579,       16.891,
BQSquare, 814581,       16.531,
RaceHorses, 757758,       16.641,
FourPeople, 4789297,      151.469,
Johnny, 4517857,      151.812,
KristenAndSara, 4444376,      150.844,
BasketballDrillText, 2572445,       66.906,
ChinaSpeed, 3168516,      120.391,
SlideEditing, 3111772,      130.375,
SlideShow, 835090,       91.875,
