Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 27600244,      674.260,
Traffic, 28394569,      685.610,
BasketballDrive, 13659483,      367.260,
BQTerrace, 15864895,      367.990,
Cactus, 16300697,      366.100,
Kimono, 13348494,      366.180,
ParkScene, 15669517,      367.210,
BasketballDrill, 2810300,       71.390,
BQMall, 3023713,       71.520,
PartyScene, 3819679,       71.860,
RaceHorsesC, 3058181,       70.950,
BasketballPass, 701259,       17.660,
BlowingBubbles, 880662,       17.820,
BQSquare, 846698,       17.530,
RaceHorses, 828842,       17.520,
FourPeople, 5514270,      161.580,
Johnny, 5113111,      160.530,
KristenAndSara, 5079857,      160.450,
BasketballDrillText, 2657108,       71.170,
ChinaSpeed, 3819282,      130.430,
SlideEditing, 3614614,      140.270,
SlideShow, 1112738,       95.200,
