Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 25885506,      577.400,
Traffic, 26963559,      585.090,
BasketballDrive, 13367922,      405.280,
BQTerrace, 15189708,      406.160,
Cactus, 15934620,      411.880,
Kimono, 12640161,      405.180,
ParkScene, 15124882,      409.620,
BasketballDrill, 2741314,       84.600,
BQMall, 2936847,       84.850,
PartyScene, 3718017,       86.190,
RaceHorsesC, 2938619,       83.410,
BasketballPass, 677616,       20.570,
BlowingBubbles, 851148,       21.210,
BQSquare, 829229,       20.800,
RaceHorses, 791416,       20.830,
FourPeople, 5169169,      187.450,
Johnny, 4786201,      184.450,
KristenAndSara, 4709306,      184.770,
BasketballDrillText, 2590931,       82.980,
ChinaSpeed, 3569145,      150.140,
SlideEditing, 3448938,      163.320,
SlideShow, 988587,      111.670,
