Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 24133908,      443.906,
Traffic, 24933586,      431.438,
BasketballDrive, 13185175,      266.375,
BQTerrace, 14531915,      253.875,
Cactus, 15763729,      271.781,
Kimono, 12249402,      248.578,
ParkScene, 14558911,      270.406,
BasketballDrill, 2739538,       59.828,
BQMall, 2849856,       60.062,
PartyScene, 3632734,       61.250,
RaceHorsesC, 2798332,       58.766,
BasketballPass, 615757,       14.438,
BlowingBubbles, 836701,       14.453,
BQSquare, 813147,       14.531,
RaceHorses, 756299,       14.391,
FourPeople, 4787267,      127.719,
Johnny, 4517480,      126.438,
KristenAndSara, 4440903,      132.812,
BasketballDrillText, 2571572,       59.156,
ChinaSpeed, 3165288,      103.266,
SlideEditing, 3100068,      116.422,
SlideShow, 831207,       79.875,
