Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 24391677,      443.344,
Traffic, 25101688,      436.750,
BasketballDrive, 13198696,      259.562,
BQTerrace, 14553308,      253.641,
Cactus, 15784090,      264.719,
Kimono, 12311386,      261.188,
ParkScene, 14625765,      273.297,
BasketballDrill, 2740242,       60.031,
BQMall, 2853289,       61.109,
PartyScene, 3632189,       61.578,
RaceHorsesC, 2810797,       60.312,
BasketballPass, 618196,       14.703,
BlowingBubbles, 836617,       14.906,
BQSquare, 813019,       14.750,
RaceHorses, 759812,       14.875,
FourPeople, 4816925,      135.984,
Johnny, 4539152,      131.359,
KristenAndSara, 4460054,      130.094,
BasketballDrillText, 2573101,       60.078,
ChinaSpeed, 3176786,      108.406,
SlideEditing, 3121988,      115.703,
SlideShow, 847922,       81.688,
