Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 24748884,      576.719,
Traffic, 25462680,      617.312,
BasketballDrive, 13213459,      340.156,
BQTerrace, 14636442,      356.844,
Cactus, 15810287,      340.359,
Kimono, 12435425,      338.766,
ParkScene, 14776633,      358.750,
BasketballDrill, 2689784,       69.312,
BQMall, 2866041,       69.766,
PartyScene, 3640806,       70.328,
RaceHorsesC, 2839052,       68.234,
BasketballPass, 626704,       16.688,
BlowingBubbles, 839104,       17.094,
BQSquare, 812716,       16.891,
RaceHorses, 765013,       16.484,
FourPeople, 4880163,      155.688,
Johnny, 4585664,      154.469,
KristenAndSara, 4515316,      154.609,
BasketballDrillText, 2530087,       68.188,
ChinaSpeed, 3223491,      124.828,
SlideEditing, 3182775,      135.688,
SlideShow, 882380,       97.188,
