Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 2739749,       33.469,
Traffic, 2822660,       30.109,
BasketballDrive, 1344670,       17.031,
BQTerrace, 1557736,       16.953,
Cactus, 1615767,       16.062,
Kimono, 1316669,       17.141,
ParkScene, 1557447,       17.125,
BasketballDrill, 280038,        3.172,
BQMall, 300905,        3.156,
PartyScene, 382610,        3.234,
RaceHorsesC, 309347,        3.219,
BasketballPass, 70044,        0.734,
BlowingBubbles, 87609,        0.766,
BQSquare, 84854,        0.750,
RaceHorses, 84399,        0.828,
FourPeople, 538487,        7.734,
Johnny, 492129,        7.719,
KristenAndSara, 490379,        7.672,
BasketballDrillText, 265263,        3.172,
ChinaSpeed, 361082,        6.094,
SlideEditing, 334419,        6.391,
SlideShow, 220714,        6.000,
